originalTitle,features
A Tree Grows in Brooklyn,"Drama,Family,Romance, nm0007223, nm0001415"
A Vida Invisível,"Drama, nm0284649, nm0014694"
A Wednesday,"Action,Crime,Drama, nm0451600, nm3109770"
A Woman Under the Influence,"Drama,Romance, nm0000393, nm0001023"
A tanú,"Comedy,Drama, nm0477570, nm0045880"
A torinói ló,"Drama, nm0220729, nm0850601"
A: Film by Upendra,"Drama, nm1962192"
Aa Naluguru,"Drama, nm0707399, nm2485654"
Aadukalam,"Action,Drama,Sport, nm1333687, nm4274575"
Aamir,"Action,Crime,Drama, nm3901368, nm2955107"
Aasef ala el-iz'ag,"Comedy,Drama,Mystery, nm13090692, nm0580727"
Aayirathil Oruvan,"Action,Adventure, nm1912683, nm1421754"
Ab Tak Chhappan,"Action,Crime,Drama, nm0007113, nm0024912"
Abad va yek rooz,"Drama, nm1818216, nm7920254"
About Time,"Comedy,Drama,Fantasy, nm1727304, nm0193485"
Abre los ojos,"Drama,Mystery,Sci-Fi, nm0635330, nm0024622"
Abril Despedaçado,"Drama, nm0241663, nm0758574"
Accattone,"Drama, nm0162948, nm0001596"
Ace in the Hole,"Drama,Film-Noir, nm0000018, nm0000697"
Achena Uttam,"Biography,Drama, nm3392688, nm13853011"
Active Measures,"Documentary, nm3191889"
Adam's Rib,"Comedy,Romance, nm0000075, nm0002030"
Adams æbler,"Comedy,Crime,Drama, nm0860947, nm0421314"
Adaptation.,"Comedy,Drama, nm0000115, nm0005069"
Advise & Consent,"Drama,Thriller, nm0867144, nm0695937"
Aferim!,"Adventure,Comedy,Drama, nm2276340, nm1257492"
African Cats,"Adventure,Documentary, nm0000168, nm0774582"
After Hours,"Comedy,Crime,Drama, nm0001162, nm0000217"
After the Thin Man,"Comedy,Crime,Mystery, nm0001635, nm0886754"
Aftersun,"Drama, nm8958770, nm3834799"
Agent Sai Srinivasa Athreya,"Comedy,Crime,Mystery, nm5189611, nm10633987"
Agir Roman,"Crime,Drama,Romance, nm0063252, nm0022858"
Agneepath,"Action,Crime,Drama, nm0000821, nm0002172"
"Aguirre, der Zorn Gottes","Action,Adventure,Biography, nm0001428, nm0001348"
Aguner Poroshmoni,"Drama,War, nm0634769, nm0014152"
Ah-ga-ssi,"Drama,Romance,Thriller, nm1978402, nm0661791"
Aha Naa Pellanta,"Comedy, nm0707399, nm0417386"
Ahlat Agaci,"Drama, nm9486622, nm0149196"
Ai no mukidashi,"Action,Comedy,Drama, nm2597963, nm0814469"
Aile Arasinda,"Comedy, nm1085525, nm1560896"
Airlift,"Action,Drama,History, nm0474774, nm1329166"
Airplane!,"Comedy, nm0001332, nm0000720"
Ajans-E Shisheh-I,"Action,Drama,Romance, nm0660978, nm0368690"
Ajeossi,"Action,Crime,Drama, nm1047193, nm2556572"
Akahige,"Drama, nm0001536, nm0000041"
Akira,"Action,Animation,Drama, nm0412628, nm0960028"
Al midan,"Documentary,Drama,History, nm0636675"
Al-risâlah,"Action,Adventure,Biography, nm1772638, nm0002160"
Aladdin,"Adventure,Animation,Comedy, nm0918334, nm0166256"
Alai Payuthey,"Drama,Musical,Romance, nm0534856, nm0711745"
Aleksandr Nevskiy,"Action,Biography,Drama, nm0003540, nm0001178"
Alexis Zorbas,"Comedy,Drama, nm0000063, nm0128050"
Alice in den Städten,"Drama, nm0901057, nm0000694"
Alien,"Horror,Sci-Fi, nm0000643, nm0000631"
Aliens,"Action,Adventure,Sci-Fi, nm0000299, nm0000116"
Aligarh,"Biography,Drama, nm0048075, nm0576554"
All About Eve,"Drama, nm0001695, nm0000581"
All Quiet on the Western Front,"Drama,War, nm0000817, nm0587277"
All That Heaven Allows,"Drama,Music,Romance, nm0001369, nm0802862"
All That Jazz,"Drama,Music,Musical, nm0001702, nm0002080"
All or Nothing,"Drama, nm0001758, nm0005139"
All the President's Men,"Drama,History,Thriller, nm0000163, nm0001587"
Almost Famous,"Adventure,Comedy,Drama, nm0001082, nm0001081"
Aloko Udapadi,"Drama,History, nm5324158, nm8359417"
AlphaGo,"Documentary,Sport, nm0463473"
Amadeus,"Biography,Drama,Music, nm0000719, nm0001232"
Amarcord,"Comedy,Drama, nm0953025, nm0000019"
Amator,"Comedy,Drama,Romance, nm0836136, nm0001425"
American Beauty,"Drama, nm0000228, nm0005222"
American Gangster,"Biography,Crime,Drama, nm0000243, nm0000631"
American History X,"Crime,Drama, nm0001570, nm0443411"
American Movie,"Comedy,Documentary, nm0096013, nm0807687"
American Psycho,"Crime,Drama,Horror, nm0000288, nm0366004"
Amici miei,"Comedy,Drama, nm0865575, nm0598102"
Amores perros,"Drama,Thriller, nm0248408, nm0327944"
Amour,"Drama, nm0004462, nm0359734"
Amy,"Biography,Documentary,Music, nm0438090"
An American Werewolf in London,"Comedy,Horror, nm0622544, nm0000484"
An Angel at My Table,"Biography,Drama, nm0001005"
An Honest Liar,"Biography,Comedy,Documentary, nm0575244"
Anand,"Drama,Musical, nm0004435, nm0611531"
Anatomy of a Murder,"Drama,Mystery, nm0000071, nm0695937"
Anbe Sivam,"Adventure,Comedy,Drama, nm0352032, nm1326535"
And Now for Something Completely Different,"Comedy, nm0000092, nm0534084"
And Then We Danced,"Drama,Romance, nm10280692, nm2172605"
Andaz Apna Apna,"Action,Comedy,Romance, nm0451148, nm0764316"
Andhadhun,"Comedy,Crime,Music, nm4731677, nm1437189"
Andrey Rublyov,"Biography,Drama,History, nm0813463, nm0001789"
Android Kunjappan Version 5.25,"Comedy,Drama,Sci-Fi, nm6229968, nm10365311"
Ang-ma-reul bo-at-da,"Action,Crime,Drama, nm0496932, nm0453518"
Angamaly Diaries,"Action,Comedy,Thriller, nm8801016, nm3859342"
Angels with Dirty Faces,"Crime,Drama,Film-Noir, nm0000010, nm0002031"
Angst essen Seele auf,"Drama,Romance, nm0373289, nm0001202"
Anjaam Pathiraa,"Crime,Mystery,Thriller, nm0090283, nm6576552"
Ankhon Dekhi,"Comedy,Drama, nm0592799"
Annie Hall,"Comedy,Romance, nm0000095"
Anniyan,"Action,Crime,Drama, nm1417314, nm0788171"
"Ano natsu, ichiban shizukana umi","Comedy,Drama,Romance, nm0538580, nm0001429"
Ansiktet,"Comedy,Drama, nm0001884, nm0000005"
Ante Sundharaniki,"Comedy,Romance, nm3761004, nm9445831"
Anvil: The Story of Anvil,"Biography,Documentary,Drama, nm0315065"
Aparajito,"Drama, nm10680822, nm4994462"
Apocalypse Now,"Drama,Mystery,War, nm0000640, nm0000338"
Apocalypto,"Action,Adventure,Drama, nm0850162, nm0000154"
Apollo 11,"Documentary,History, nm1530433"
Apollo 13,"Adventure,Drama,History, nm0000158, nm0000165"
Apur Sansar,"Drama, nm0154164, nm0006249"
Arabesk,"Comedy,Musical, nm0784038, nm0251027"
"Argentina, 1985","Biography,Crime,Drama, nm0201857, nm1377207"
Argo,"Biography,Drama,Thriller, nm0000255"
Ariel,"Comedy,Crime,Romance, nm0656999, nm0442454"
Arjun Reddy,"Action,Drama,Romance, nm4797922, nm9227039"
Armadillo,"Documentary,War, nm2178458"
Arrival,"Drama,Mystery,Sci-Fi, nm0719637, nm0898288"
Arsenic and Old Lace,"Comedy,Crime,Thriller, nm0000026, nm0001008"
Article 15,"Crime,Drama,Mystery, nm4731677, nm1025280"
Aruitemo aruitemo,"Drama, nm0008346, nm0466153"
Aruvi,"Drama, nm9557587, nm8273413"
Arya,"Action,Drama,Romance, nm1084853, nm1335875"
As Good as It Gets,"Comedy,Drama,Romance, nm0000197, nm0000985"
Ascenseur pour l'échafaud,"Crime,Drama,Thriller, nm0740067, nm0001501"
Ashi Hi Banwa Banwi,"Comedy, nm0764769, nm0755113"
Assal Eswed,"Comedy,Drama, nm1218629, nm0580727"
Asuran,"Action,Drama, nm1333687, nm4274575"
Atanarjuat,"Drama, nm0881081, nm0994348"
Athadu,"Action,Crime,Drama, nm1121870, nm1894520"
Athlete A,"Crime,Documentary,Sport, nm1010896"
Atonement,"Drama,Mystery,Romance, nm0564215, nm0942504"
Au hasard Balthazar,"Drama, nm0338398, nm0000975"
Au revoir les enfants,"Drama,War, nm0542009, nm0001501"
Auf der anderen Seite,"Drama, nm0205811, nm0015359"
Auntie Mame,"Comedy,Drama,Romance, nm0875861, nm0196536"
Avane Srimannarayana,"Action,Adventure,Comedy, nm5756214, nm9624407"
Avatar,"Action,Adventure,Fantasy, nm0941777, nm0000116"
Avatar: The Way of Water,"Action,Adventure,Fantasy, nm0941777, nm0000116"
Avaze gonjeshk-ha,"Drama,Family, nm0619870, nm0006498"
Avengers: Endgame,"Action,Adventure,Drama, nm0000375, nm0751577"
Avengers: Infinity War,"Action,Adventure,Sci-Fi, nm0000375, nm0751577"
Avicii: True Stories,"Biography,Documentary,Music, nm7433244"
Awakenings,"Biography,Drama, nm0000134, nm0001508"
Away from Her,"Drama, nm0614526, nm0001631"
Ayan,"Action, nm1421814, nm0433895"
Ayisha,"Comedy,Drama,Family, nm13373818, nm12924196"
Ayla: The Daughter of War,"Biography,Drama,History, nm1002038, nm8631915"
Aynabaji,"Crime,Mystery,Thriller, nm4413266, nm2755490"
Ayyappanum Koshiyum,"Action,Drama,Thriller, nm0579756, nm2819123"
Az ötödik pecsét,"Drama,War, nm0960236, nm0299586"
B.D. la munte si la mare,"Action,Comedy,Crime, nm0135908, nm0236664"
B.D. în alertã,"Action,Comedy,Crime, nm0135908, nm0236664"
BTS Permission to Dance on Stage - Seoul: Live Viewing,"Documentary,Music, nm7808003, nm14050113"
BTS World Tour: Love Yourself in Seoul,"Documentary,Music, nm8506459"
BTS: Permission to Dance on Stage - LA,"Documentary,Music, nm14064367, nm10201503"
Ba wang bie ji,"Drama,Music,Romance, nm0002000, nm0155280"
Baasha,"Action,Crime,Drama, nm0707425, nm0471452"
Baazigar,"Crime,Drama,Musical, nm0451321, nm0122216"
Babam ve Oglum,"Drama,Family, nm1002038, nm1463981"
Babel,"Drama, nm0000093, nm0327944"
Babettes gæstebud,"Drama, nm0474649, nm0002196"
Baby,"Action,Crime,Thriller, nm0474774, nm3109770"
Baby Driver,"Action,Crime,Drama, nm5052065, nm0942367"
Baby Face,"Drama,Romance, nm0107575, nm0337586"
Babylon,"Comedy,Drama,History, nm0000093, nm3227090"
Bacheha-Ye aseman,"Drama,Family,Sport, nm0619870, nm0006498"
Back to the Future,"Adventure,Comedy,Sci-Fi, nm0000150, nm0000709"
Back to the Future Part II,"Adventure,Comedy,Sci-Fi, nm0000150, nm0000709"
Bad Day at Black Rock,"Crime,Drama,Mystery, nm0000075, nm0836328"
Bad Hero,"Comedy,Crime,Drama, nm3346260, nm4175587"
Badhaai ho,"Comedy,Drama, nm4731677, nm2279430"
Badkonake sefid,"Drama,Family, nm0435760, nm0070159"
Badla,"Crime,Drama,Mystery, nm0000821, nm1223910"
Badlands,"Action,Crime,Drama, nm0000640, nm0000517"
Bairan Palli,"Horror,Thriller, nm13627290, nm6066435"
Baisers volés,"Comedy,Drama,Romance, nm0529543, nm0000076"
Bajrangi Bhaijaan,"Action,Adventure,Comedy, nm0006795, nm1203138"
Bakemono no ko,"Action,Adventure,Animation, nm0945131, nm0396074"
Bakha satang,"Drama, nm0812555, nm0496969"
Bakushû,"Drama, nm0753479, nm0654868"
Balkanski spijun,"Comedy,Drama, nm0831262, nm0468169"
Ball of Fire,"Comedy,Romance, nm0000011, nm0001328"
Ballada o soldate,"Drama,Romance,War, nm0412204, nm0161055"
Ballon,"Drama,History,Thriller, nm3177935, nm0378660"
Bande à part,"Comedy,Crime,Drama, nm0105475, nm0000419"
Bang Bang You're Dead,"Crime,Drama,Thriller, nm0146915, nm0272704"
Bang Boom Bang - Ein todsicheres Ding,"Action,Comedy,Crime, nm0466292, nm0861826"
Bangalore Days,"Comedy,Drama,Romance, nm4921260, nm3250747"
Banker Bilo,"Comedy,Drama, nm0758656, nm0251027"
Banshee,"Action, nm5374786, nm4409868"
Banshun,"Drama, nm0753479, nm0654868"
Bara no sôretsu,"Drama, nm0676201, nm0559564"
Baraka,"Documentary, nm0228286, nm0294825"
Baran,"Drama,Romance, nm0008416, nm0006498"
Bareilly Ki Barfi,"Comedy,Romance, nm4731677, nm6436658"
Barfi!,"Comedy,Drama,Romance, nm1633541, nm1397301"
Bari,"Action,Drama, nm13557986, nm13834761"
Barry Lyndon,"Adventure,Drama,War, nm0641939, nm0000040"
Barton Fink,"Comedy,Drama,Thriller, nm0001806, nm0001054"
Batman,"Action,Adventure, nm0000474, nm0000318"
Batman Begins,"Action,Crime,Drama, nm0000288, nm0634240"
Batman: Mask of the Phantasm,"Action,Adventure,Animation, nm0175834, nm0022828"
Batoru rowaiaru,"Action,Adventure,Drama, nm0297885, nm0297935"
Beastie Boys Story,"Biography,Documentary,Music, nm0005069"
Beasts of No Nation,"Drama,War, nm6781688, nm1560977"
Beau Geste,"Action,Adventure,Drama, nm0000011, nm0920074"
Beautiful Thing,"Comedy,Drama,Romance, nm0077551, nm0531751"
Beauty and the Beast,"Animation,Family,Fantasy, nm0000913, nm0873779"
Becket,"Biography,Drama,History, nm0000009, nm0322706"
Beetle Juice,"Comedy,Fantasy, nm0000285, nm0000318"
Before Midnight,"Drama,Romance, nm0000160, nm0000500"
Before Sunrise,"Drama,Romance, nm0000160, nm0000500"
Before Sunset,"Drama,Romance, nm0000160, nm0000500"
Before the Flood,"Documentary,News, nm0001770"
Behzat Ç.: Seni Kalbime Gömdüm,"Action,Crime,Mystery, nm1698655, nm0015091"
Being Elmo: A Puppeteer's Journey,"Documentary, nm0548789"
Being John Malkovich,"Comedy,Drama,Fantasy, nm0000131, nm0005069"
Being There,"Comedy,Drama, nm0000634, nm0000797"
Bekçiler Krali,"Comedy, nm0839017, nm0781261"
Belle de jour,"Drama,Romance, nm0814799, nm0000320"
Beloe solntse pustyni,"Action,Adventure,Comedy, nm0476828, nm0609594"
Ben-Hur,"Adventure,Drama, nm0000032, nm0943758"
Ben-Hur A Tale of the Christ,"Adventure,Drama,Romance, nm0003895, nm0629243"
Beoning,"Drama,Mystery,Thriller, nm2584860, nm0496969"
Berserk: Ougon Jidai-hen I - Haou no Tamago,"Action,Adventure,Animation, nm4284529, nm0473549"
Berserk: Ougon jidai-hen II - Dorudorei koryaku,"Action,Adventure,Animation, nm1039206, nm0473549"
Berserk: Ougon jidai-hen III - Kourin,"Action,Adventure,Animation, nm1827148, nm0473549"
Best of Enemies,"Biography,Documentary,History, nm1271076"
Bhaag Milkha Bhaag,"Biography,Drama,Sport, nm1027719, nm1018493"
Bhala Chora Bhala,"Adventure,Drama,Thriller, nm10562914, nm13284867"
Bharat Ane Nenu,"Action,Drama,Thriller, nm1121870, nm2270180"
Bhavesh Joshi Superhero,"Action,Crime,Drama, nm7561367, nm0003939"
Bhediya,"Comedy,Horror,Thriller, nm3315894, nm3603873"
Bheeshmaparvam,"Action,Crime,Drama, nm0007123, nm2039170"
Bheja Fry,"Comedy,Drama, nm0665555, nm2625699"
Big Fish,"Adventure,Drama,Fantasy, nm0000191, nm0000318"
Big Hero 6,"Action,Adventure,Animation, nm3994407, nm2320658"
Bigger Than Life,"Drama, nm0000051, nm0712947"
Bikur Ha-Tizmoret,"Comedy,Drama,Music, nm0299924, nm0464115"
Bilal: A New Breed of Hero,"Action,Adventure,Animation, nm0015382, nm6735778"
Billie Eilish: The World's a Little Blurry,"Biography,Documentary,Music, nm0191712"
Billy Elliot,"Drama,Music, nm0068260, nm0197636"
Bin-jip,"Crime,Drama,Romance, nm1030819, nm1104118"
Bir Zamanlar Anadolu'da,"Crime,Drama,Thriller, nm1959252, nm0149196"
Birdman of Alcatraz,"Biography,Crime,Drama, nm0000044, nm0001239"
Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama, nm0000474, nm0327944"
Biruma no tategoto,"Drama,Music,War, nm0586733, nm0406728"
Bizim Aile,"Comedy,Drama,Family, nm0654805, nm0649405"
Bizim Için Sampiyon,"Biography,Drama,Romance, nm6122124, nm3446789"
BlacKkKlansman,"Biography,Comedy,Crime, nm0913475, nm0000490"
Black,"Drama, nm0000821, nm0080220"
Black Friday,"Action,Crime,Drama, nm1946407, nm0440604"
Black Hawk Down,"Action,Drama,History, nm0001326, nm0000631"
Black Hawk Down,"Documentary, nm1428596"
Black Narcissus,"Drama, nm0268119, nm0003836"
Black Swan,"Drama,Thriller, nm0001993, nm0004716"
Blackfish,"Documentary, nm1363250"
Blade Runner,"Action,Drama,Sci-Fi, nm0000148, nm0000631"
Blade Runner 2049,"Action,Drama,Mystery, nm0000148, nm0898288"
Blancanieves,"Drama,Fantasy, nm0310586, nm0074311"
Blazing Saddles,"Comedy,Western, nm0001476, nm0000316"
Blinkende lygter,"Action,Comedy,Crime, nm0683587, nm0421314"
Blood Diamond,"Adventure,Drama,Thriller, nm0000138, nm0001880"
Blood Simple,"Crime,Drama,Thriller, nm0315288, nm0001054"
Bloody Sunday,"Drama,History,War, nm0626362, nm0339030"
Blow,"Biography,Crime,Drama, nm0000136, nm0001130"
Blow-Up,"Drama,Mystery,Thriller, nm0376101, nm0000774"
Blue Collar,"Crime,Drama, nm0001640, nm0001707"
Blue Velvet,"Crime,Drama,Mystery, nm0001492, nm0000186"
Bob le flambeur,"Crime,Drama,Thriller, nm0239841, nm0578483"
Bogowie,"Biography,Drama, nm1682799, nm2098745"
Bohemian Rhapsody,"Biography,Drama,Music, nm1785339, nm0001741"
Boiling Point,"Drama,Thriller, nm0334318, nm0053028"
Boksuneun naui geot,"Crime,Drama,Thriller, nm0814280, nm0661791"
Bol,"Drama, nm4493008, nm2716176"
Bom yeoreum gaeul gyeoul geurigo bom,"Drama,Romance, nm1104118"
Bombay,"Drama,Romance, nm0841552, nm0711745"
Bommarillu,"Comedy,Drama,Romance, nm1413459, nm2347386"
Bonnie and Clyde,"Action,Biography,Crime, nm0000886, nm0671957"
Boogie Nights,"Drama, nm0000242, nm0000759"
Border,"Action,Drama,History, nm0219971, nm0244892"
Born Yesterday,"Comedy,Drama,Romance, nm0000034, nm0002030"
Born in China,"Documentary,History, nm5868577"
Boruto: Naruto the Movie,"Action,Adventure,Animation, nm5045078, nm4738743"
Bound by Honor,"Crime,Drama, nm0152082, nm0000431"
Boy,"Comedy,Drama, nm2034752"
Boy A,"Drama, nm1940449, nm1259871"
Boyhood,"Drama, nm1294664, nm0000500"
Boys Don't Cry,"Biography,Crime,Drama, nm0765597, nm0005303"
Boyz n the Hood,"Crime,Drama, nm0000421, nm0005436"
Boze Cialo,"Drama, nm5849568, nm1717924"
Braindead,"Comedy,Fantasy,Horror, nm0050975, nm0001392"
Brat,"Action,Crime,Drama, nm0091074, nm0049326"
Brat 2,"Action,Crime,Drama, nm0091074, nm0049326"
Braveheart,"Biography,Drama,History, nm0000154"
Brazil,"Drama,Sci-Fi, nm0000596, nm0000416"
Breakfast at Tiffany's,"Comedy,Drama,Romance, nm0000577, nm0001175"
Breaking Away,"Comedy,Drama,Sport, nm0160550, nm0946811"
Breaking the Waves,"Drama, nm0001745, nm0001885"
Bride of Frankenstein,"Drama,Horror,Sci-Fi, nm0000472, nm0001843"
Bridge of Spies,"Drama,History,Thriller, nm0000158, nm0000229"
Brief Encounter,"Drama,Romance, nm0002145, nm0000180"
Brigada Diverse intrã în actiune,"Comedy, nm0135908, nm0236664"
Brilliantovaya ruka,"Adventure,Comedy,Crime, nm0631994, nm0301145"
Bringing Up Baby,"Comedy, nm0000026, nm0001328"
Brokeback Mountain,"Drama,Romance, nm0350453, nm0000487"
Bronenosets Potemkin,"Drama,History,Thriller, nm0031446, nm0001178"
Brooklyn,"Drama,Romance, nm1710309, nm1259871"
Brute Force,"Crime,Drama,Film-Noir, nm0000044, nm0202088"
"Brutti, sporchi e cattivi","Comedy,Drama, nm0030373, nm0778633"
Brødre,"Drama,War, nm0860947, nm0081540"
Bu Neng Shuo De. Mi Mi,"Drama,Music,Romance, nm1727100"
Buena Vista Social Club,"Documentary,Music, nm0000694"
Burden of Dreams,"Documentary, nm0001428, nm0087511"
Busanhaeng,"Action,Horror,Thriller, nm1508003, nm3613566"
Butch Cassidy and the Sundance Kid,"Biography,Crime,Drama, nm0000056, nm0001351"
Byeon-ho-in,"Drama, nm0814280, nm6153366"
Byôsoku 5 senchimêtoru,"Animation,Drama,Family, nm0594647, nm1396121"
Bãhubali 2: The Conclusion,"Action,Drama, nm1659141, nm1442514"
Bãhubali: The Beginning,"Action,Drama, nm1659141, nm1442514"
C U Soon,"Drama,Mystery,Thriller, nm1335704, nm3525879"
C'era una volta il West,"Western, nm0000020, nm0001466"
C'eravamo tanto amati,"Comedy,Drama, nm0542063, nm0778633"
C.R.A.Z.Y.,"Comedy,Drama, nm0194788, nm0885249"
C/o Kancharapalem,"Drama, nm10100660, nm9284362"
CM101MMXI Fundamentals,"Comedy,Documentary, nm2339782"
CODA,"Comedy,Drama,Music, nm1319274, nm1571761"
Cabaret,"Drama,Music,Musical, nm0001868, nm0002080"
California Dreamin' (Nesfarsit),"Comedy,Drama,War, nm0000800, nm0625904"
Call Me by Your Name,"Drama,Romance, nm3154303, nm0345174"
Campanadas a medianoche,"Comedy,Drama,History, nm0000080"
Canim Kardesim,"Drama, nm0015081, nm0251027"
Cape Fear,"Drama,Thriller, nm0000060, nm0496746"
Capharnaüm,"Drama, nm9862858, nm1701024"
Captain America: Civil War,"Action,Sci-Fi, nm0262635, nm0751577"
Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi, nm0262635, nm0751577"
Captain Blood,"Action,Adventure,History, nm0001224, nm0002031"
Captain Fantastic,"Comedy,Drama, nm0001557, nm0743671"
Captain Phillips,"Action,Biography,Crime, nm0000158, nm0339030"
Captains Courageous,"Adventure,Drama,Family, nm0000075, nm0281808"
Capturing the Friedmans,"Biography,Crime,Documentary, nm1285613"
Carandiru,"Crime,Drama, nm0246570, nm0002199"
Carlito's Way,"Crime,Drama,Thriller, nm0000199, nm0000361"
Casablanca,"Drama,Romance,War, nm0000007, nm0002031"
Case 30,"Crime,Romance,Thriller, nm12911598, nm12911597"
Casino,"Crime,Drama, nm0000134, nm0000217"
Casino Royale,"Action,Adventure,Thriller, nm0185819, nm0132709"
Cast Away,"Adventure,Drama,Romance, nm0000158, nm0000709"
Cat on a Hot Tin Roof,"Drama, nm0000056, nm0112218"
Catch Me If You Can,"Biography,Crime,Drama, nm0000138, nm0000229"
Caur Adatu,"Biography,Documentary,Drama, nm6314299"
Celda 211,"Action,Crime,Drama, nm0869088, nm0600409"
Central do Brasil,"Drama, nm0646737, nm0758574"
Cep Herkülü: Naim Süleymanoglu,"Biography,Drama,Sport, nm9091047, nm9220261"
Cet obscur objet du désir,"Comedy,Drama,Romance, nm0721073, nm0000320"
Cha no aji,"Comedy,Fantasy, nm1694920, nm0411002"
Chaal Jeevi Laiye,"Drama, nm1784785, nm0961391"
Chaar Sahibzaade,"Animation,History, nm0700875, nm0062614"
Chaharshanbe-soori,"Drama,Mystery,Romance, nm0267946, nm1410815"
Chak De! India,"Drama,Family,Sport, nm0451321, nm0024912"
Chal Mera Putt 2,"Drama, nm3760302, nm7569493"
Chalard games goeng,"Comedy,Crime,Drama, nm7628415, nm5464371"
Changeling,"Biography,Crime,Drama, nm0272173, nm0000142"
Chaplin,"Biography,Comedy,Drama, nm0000375, nm0000277"
Charade,"Comedy,Mystery,Romance, nm0000026, nm0002045"
Charley Varrick,"Crime,Drama,Thriller, nm0000527, nm0796923"
Charlie,"Adventure,Drama,Romance, nm4921260, nm3964043"
Charulata,"Drama,Romance, nm0154164, nm0006249"
Chase in the dark,"Crime,Mystery,Thriller, nm6765391, nm9377197"
